"Y","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
3197365.0916584,37.6526747550815,19.2092997441068,127.477950216271,1,192.690945020877,1,1,56.4569298522547,0,48.9000417967327
2628445.55415146,37.8906043525785,15.5054998956621,156.884976583533,0,195.976630845107,0,0,46.6981999301352,0,87.3772657336667
-8460119.09511637,-55.2278554509394,17.2620163625106,150.204758844338,0,190.300800222903,1,1,65.338505835738,0,84.2986393230967
-15700188.8192353,-74.6813976555131,12.8431365336291,164.229925344698,1,191.408947138116,1,1,44.1922088041902,1,48.1720422720537
-1806.98548479778,-4.72044949419796,11.8035905226134,165.017183851451,1,185.46326644253,1,1,60.658264964819,1,40.125967070926
-38.8834888198692,1.34318374097347,13.3565079863183,161.014745780267,0,190.124737946317,1,1,46.6870542294346,1,46.6646013408899
37886.3198153064,8.31887241220102,19.429953196086,126.497170552611,0,195.534443897195,0,0,61.0995595571585,0,72.1796617703512
-23497247.2703448,-79.6373823517933,15.8329131128266,145.310069387779,1,187.800030563958,1,0,64.5481643667445,1,71.8442986113951
-16566612.3801799,-75.3501294972375,13.1920765270479,172.249348489568,1,195.608181473799,0,1,66.6233763308264,1,89.3795000133105
204.981283136059,-2.43451859569177,13.9255043724552,165.664963605814,1,184.096723003313,0,1,67.5463000372984,1,50.0672988686711
3995806.10734642,40.4183991113678,19.4540437986143,173.574973116629,0,195.058853239752,1,1,47.8338935296051,0,88.8540310645476
-1819938.17287292,-32.5289362994954,18.6127205030061,124.734419113956,0,194.545763814822,1,1,60.0365660707466,0,69.161578672938
-85.1257174529067,0.271648538764566,16.4532899577171,158.683861652389,1,193.427679254673,0,1,63.2064048997127,0,43.91037176596
16490.742593124,6.38933140318841,18.4573953668587,142.889406010509,1,180.510031604208,0,1,47.2612429163419,0,52.5964501057751
1855.36587557026,3.36296898545697,15.1351272547618,158.220254941843,1,189.856950100511,1,1,54.8061012434773,1,59.149177079089
-14955174.1489752,-76.3602387625724,11.4366669533774,179.5591523638,0,199.949939423241,0,0,68.355388478376,1,58.3485467685387
-9515146.55087497,-59.5923782000318,15.4145634896122,165.660077179782,0,189.370728526264,0,0,67.9514928190038,1,51.3722805632278
-2420.5972769177,-4.64427475584671,17.3349329316989,131.147426557727,1,196.798104075715,1,1,63.2799249058589,1,43.9752771495841
-645137.850836195,-28.1833365792409,10.2177615440451,159.959905003197,0,195.040192781016,1,1,63.7450749189593,0,79.8628273629583
-6833310.97905488,-56.442063334398,13.046926849056,140.955320927314,0,185.770750581287,0,1,57.9733911207877,1,78.0842671729624
-360390.277386171,-21.8326417263597,12.5526594370604,130.961342356168,1,195.349616054446,0,1,57.3050113380887,1,79.4489713478833
-49898.4016322994,-10.1645080908202,19.7560513671488,122.615536157973,1,180.468589323573,1,1,56.1502395863645,0,65.6689928821288
-4829229.62550268,-54.0004908316769,10.5386259383522,131.718405238353,0,181.881345659494,0,0,62.6486674007028,1,71.1147267348133
